EVENT_NAME	COUNT_STAR	SUM_TIMER_WAIT_MS	AVG_TIMER_WAIT_MS
wait/io/table/sql/handler	132734509	7276571.6861	0.0548
wait/io/file/innodb/innodb_data_file	15801682	3177083.1230	0.2011
wait/synch/sxlock/innodb/btr_search_latch	91655494	1240168.9301	0.0135
wait/synch/sxlock/innodb/hash_table_locks	820154252	98880.9027	0.0001
wait/synch/mutex/innodb/lock_mutex	140173177	69511.4424	0.0005
wait/synch/sxlock/innodb/index_tree_rw_lock	114352742	65231.0679	0.0006
wait/lock/table/sql/handler	71362115	59753.2145	0.0008
wait/synch/mutex/innodb/log_sys_mutex	103857597	46266.4801	0.0004
wait/synch/mutex/innodb/buf_pool_mutex	117937877	35721.4737	0.0003
wait/io/file/innodb/innodb_log_file	26429	33026.7283	1.2496
wait/synch/mutex/innodb/fil_system_mutex	145327463	30960.1901	0.0002
wait/synch/mutex/innodb/trx_mutex	729316205	27281.4420	0.0000
wait/synch/mutex/innodb/trx_sys_mutex	66270938	16689.4363	0.0003
wait/synch/sxlock/innodb/fil_space_latch	2704723	10188.1381	0.0038
wait/synch/sxlock/innodb/dict_operation_lock	48784608	4641.1773	0.0001
wait/synch/mutex/innodb/log_sys_write_mutex	281796	4025.7366	0.0143
wait/synch/mutex/innodb/sync_array_mutex	10159000	3437.4080	0.0003
wait/synch/mutex/innodb/redo_rseg_mutex	13929258	3226.1116	0.0002
wait/synch/mutex/innodb/buf_dblwr_mutex	2030755	1922.4230	0.0009
wait/synch/mutex/innodb/flush_list_mutex	15326714	1720.6352	0.0001
wait/synch/mutex/innodb/log_flush_order_mutex	10343421	1692.2323	0.0002
wait/synch/mutex/innodb/trx_undo_mutex	34968559	1483.1123	0.0000
wait/synch/mutex/innodb/trx_pool_mutex	296	1276.4061	4.3122
wait/synch/mutex/innodb/dict_sys_mutex	1234103	677.6899	0.0005
wait/synch/mutex/innodb/nvdimm_static_region_mutex	7641416	622.9933	0.0001
wait/synch/sxlock/innodb/checkpoint_lock	138	432.0768	3.1310
